Gene,GeneName,Type,miRNA,Phenotypes
Dnajb7,DnaJ homolog subfamily B member 7,,miR-374b-3p,increased fasting circulating glucose level
Dnajc14,DnaJ homolog subfamily C member 14,,miR-741-3p,increased lean body mass
Dnajc19,Mitochondrial import inner membrane translocase subunit TIM14,,miR-3473f,increased circulating glucose level
Dnajc30,"DnaJ homolog subfamily C member 30, mitochondrial",,let-7f-2-3p; miR-125b-2-3p,improved glucose tolerance
Dnajc5g,DnaJ heat shock protein family,,miR-3470b,increased fasting circulating glucose level; increased circulating insulin level
Dnd1,Dead end protein homolog 1,,miR-470-3p,increased total body fat amount
Dnmt3a,DNA,Enzyme,miR-935; miR-29a-3p; miR-29c-3p; let-7a-2-3p,increased total body fat amount
Dock9,Dedicator of cytokinesis protein 9,,miR-25-3p; miR-92b-3p; miR-935; miR-182-3p; miR-222-3p; miR-221-3p,increased lean body mass
Dpf1,Zinc finger protein neuro-d4,,miR-29a-3p; miR-29c-3p,increased lean body mass
Dpm2,Dolichol phosphate-mannose biosynthesis regulatory protein,Enzyme,miR-1934-3p; miR-22-3p; let-7a-2-3p,impaired glucose tolerance
Dpp4,Dipeptidyl peptidase 4,Peptidase,miR-743b-3p; miR-152-3p; miR-29a-3p; miR-148a-3p; miR-148b-3p; miR-29c-3p,improved glucose tolerance
Dpp8,Dipeptidyl peptidase 8,Peptidase,miR-204-3p; miR-222-3p; miR-221-3p; miR-100-3p; miR-330-3p,increased total body fat amount; impaired glucose tolerance
Dspp,Dentin sialophosphoprotein,,miR-200b-3p; miR-200c-3p; miR-429-3p; miR-669e-3p,improved glucose tolerance
Dtx4,E3 ubiquitin-protein ligase DTX4,Enzyme,miR-7222-3p; miR-3473e; miR-3473b; miR-672-3p; miR-532-3p; miR-27a-3p; miR-27b-3p,impaired glucose tolerance
Dus2,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,Enzyme,miR-25-3p; miR-92b-3p,increased lean body mass
Dusp3,Dual specificity protein phosphatase 3,Phosphatase,miR-672-3p; miR-204-3p; miR-200a-3p; miR-141-3p,increased total body fat amount; increased circulating insulin level
Dusp8,Dual specificity protein phosphatase 8,Phosphatase,miR-3470a; miR-3473e; miR-3473b; miR-486a-3p; miR-340-3p; miR-486b-3p,impaired glucose tolerance
Dync1i2,Cytoplasmic dynein 1 intermediate chain 2,,miR-669e-3p,increased lean body mass
Dynlrb2,Dynein light chain roadblock-type 2,,let-7f-2-3p,increased lean body mass; increased fasting circulating glucose level
E2f3,Transcription factor E2F3,Transcription regulator,miR-25-3p; miR-743b-3p; miR-672-3p; miR-125a-3p; miR-92b-3p; miR-200a-3p; let-7f-2-3p; miR-141-3p,increased total body fat amount; impaired glucose tolerance
Ebf2,Transcription factor COE2,Transcription regulator,miR-192-3p; let-7g-3p; miR-330-3p,impaired glucose tolerance
Ech1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Enzyme,miR-27a-3p; miR-27b-3p,increased total body fat amount
Edem1,ER degradation-enhancing alpha-mannosidase-like protein 1,Enzyme,miR-25-3p; miR-672-3p; miR-92b-3p; miR-27a-3p; miR-741-3p; miR-27b-3p; miR-330-3p,increased lean body mass
Eef2kmt,Protein-lysine N-methyltransferase EEF2KMT,Enzyme,miR-3470a,impaired glucose tolerance
Efna5,Ephrin-A5,Kinase,miR-3473f; miR-743b-3p; miR-1981-3p; miR-29a-3p; let-7b-3p; miR-30b-3p; let-7c-2-3p; miR-532-3p; let-7a-1-3p; miR-29c-3p,increased fasting circulating glucose level
Egfem1,EGF-like and EMI domain-containing protein 1,,miR-672-3p,impaired glucose tolerance
Ehmt1,Histone-lysine N-methyltransferase EHMT1,Enzyme,miR-21b; miR-191-3p; miR-375-3p,increased lean body mass
Eif1ad,Probable RNA-binding protein EIF1AD,,miR-677-3p,decreased lean body mass
Eif4g1,Eukaryotic translation initiation factor 4 gamma 1,Translation regulator,miR-183-3p,increased total body fat amount; increased fasting circulating glucose level
Eif4g2,Eukaryotic translation initiation factor 4 gamma 2,Translation regulator,miR-3470a; miR-25-3p; miR-3969; miR-92b-3p,impaired glucose tolerance
Elk1,ETS domain-containing protein Elk-1,Transcription regulator,miR-1249-3p; miR-139-3p,increased circulating insulin level
Elk4,ETS domain-containing protein Elk-4,Transcription regulator,miR-3470a; miR-25-3p; miR-92b-3p; miR-30d-3p; miR-532-3p; miR-30a-3p; miR-30e-3p; miR-449a-3p,decreased lean body mass
Elmo1,Engulfment and cell motility protein 1,,miR-152-3p; let-7b-3p; miR-148a-3p; miR-205-3p; let-7c-2-3p; let-7a-1-3p; miR-486a-3p; miR-27a-3p; miR-677-3p; miR-148b-3p; miR-486b-3p; miR-27b-3p; miR-211-3p,increased lean body mass
Elmod1,ELMO domain-containing protein 1,,miR-200b-3p; miR-200a-3p; miR-200c-3p; miR-143-3p; miR-429-3p; miR-141-3p,increased lean body mass
Elmod2,ELMO domain-containing protein 2,,miR-3473f; miR-743b-3p; miR-200b-3p; miR-10a-3p; miR-200c-3p; miR-222-3p; miR-429-3p; miR-221-3p,increased total body fat amount
Elovl5,Very long chain fatty acid elongase 5,Enzyme,miR-743b-3p; miR-374b-3p; miR-21b; let-7a-2-3p,increased total body fat amount; improved glucose tolerance
Emc3,ER membrane protein complex subunit 3,,miR-871-3p; miR-547-3p; miR-150-3p; miR-205-3p,increased total body fat amount
Emc4,ER membrane protein complex subunit 4,,miR-30d-3p; miR-30a-3p; miR-30e-3p,increased fasting circulating glucose level
Emc8,ER membrane protein complex subunit 8,,miR-3470b; miR-7222-3p; miR-206-3p; miR-486a-3p; miR-486b-3p,increased total body fat amount
Ensa,Alpha-endosulfine,Transporter,miR-200b-3p; miR-200c-3p; miR-429-3p; miR-483-3p,increased lean body mass
Entpd1,Ectonucleoside triphosphate diphosphohydrolase 1,Enzyme,miR-374b-3p,increased lean body mass
Eomes,Eomesodermin homolog,Transcription regulator,miR-25-3p; miR-92b-3p; miR-29a-3p; miR-30d-3p; miR-23b-3p; let-7g-3p; miR-23a-3p; miR-29c-3p; miR-30a-3p; miR-30e-3p; miR-468-3p; let-7a-2-3p,increased total body fat amount
Epas1,Endothelial PAS domain-containing protein 1,Transcription regulator,miR-3535; miR-3473d; miR-152-3p; miR-148a-3p; miR-148b-3p; miR-669e-3p,increased total body fat amount
Epb41l1,Band 4.1-like protein 1,,miR-7222-3p; miR-3473d; miR-145a-3p; miR-205-3p; miR-27a-3p; miR-741-3p; miR-27b-3p,increased lean body mass; improved glucose tolerance
Epb41l5,Band 4.1-like protein 5,,miR-21a-3p; miR-30b-3p; let-7f-2-3p; miR-184-3p; miR-211-3p; miR-330-3p,increased lean body mass
Epc1,Enhancer of polycomb homolog 1,Transcription regulator,miR-935; miR-29a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-27a-3p; miR-29c-3p; miR-741-3p; miR-125b-2-3p; miR-330-3p; miR-27b-3p; miR-211-3p,increased lean body mass
Erap1,Endoplasmic reticulum aminopeptidase 1,Peptidase,miR-30d-3p; miR-203-3p; miR-30a-3p; miR-30e-3p,increased lean body mass
Ercc5,DNA excision repair protein ERCC-5,Enzyme,let-7b-3p; let-7c-2-3p; let-7a-1-3p,increased fasting circulating glucose level
Erlin1,Erlin-1,,miR-3470a; miR-7222-3p; miR-3473d; miR-935; miR-145a-3p,decreased lean body mass
