Gene,Gene Name,Phenotype,Parameter
Rsbn1,Lysine-specific demethylase 9,increased total body fat amount,Fat mass
Lysmd1,LysM and putative peptidoglycan-binding domain-containing protein 1,increased total body fat amount,Fat/Body weight
Mboat7,Lysophospholipid acyltransferase 7,decreased lean body mass,Lean mass
Scarb2,Lysosome membrane protein 2,increased lean body mass,Lean/Body weight
Minar2,Major intrinsically disordered NOTCH2-binding receptor 1-like homolog,increased total body fat amount,Fat/Body weight
Mlec,Malectin,increased lean body mass,Lean/Body weight
Mamld1,Mastermind-like domain-containing protein 1,increased total body fat amount,Fat/Body weight
Mmp20,Matrix metalloproteinase-20,decreased lean body mass,Lean/Body weight
Mturn,Maturin,increased lean body mass,Lean mass
Mlx,Max-like protein X,increased lean body mass,Lean/Body weight
Med23,Mediator of RNA polymerase II transcription subunit 23,increased lean body mass,Lean mass
Med25,Mediator of RNA polymerase II transcription subunit 25,increased total body fat amount,Fat mass
Rec8,Meiotic recombination protein REC8 homolog,increased total body fat amount,Fat mass
Mc3r,Melanocortin receptor 3,increased total body fat amount,Fat mass
Mrap2,Melanocortin-2 receptor accessory protein 2,increased total body fat amount,Fat/Body weight
Mfrp,Membrane frizzled-related protein,increased body weight,Body Weight
Magi2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",increased body weight,Body Weight
Pitpnm1,Membrane-associated phosphatidylinositol transfer protein 1,increased lean body mass,Lean Mass
Grm3,Metabotropic glutamate receptor 3,increased total body fat amount,Fat/Body weight
Mta1,Metastasis-associated protein MTA1,increased total body fat amount,Fat mass
Mta3,Metastasis-associated protein MTA3,increased body weight,Body Weight
Mars2,"Methionine--tRNA ligase, mitochondrial",increased total body fat amount,Fat mass
Mmaa,"Methylmalonic aciduria type A homolog, mitochondrial",increased total body fat amount,Fat mass
Mettl26,Methyltransferase-like 26,increased total body fat amount,Fat mass
Mapre3,Microtubule-associated protein RP/EB family member 3,increased total body fat amount,Fat mass
Mcmbp,Mini-chromosome maintenance complex-binding protein,decreased lean body mass,Lean/Body weight
Slc25a21,Mitochondrial 2-oxodicarboxylate carrier,increased total body fat amount,Fat/Body weight
Mtarc2,Mitochondrial amidoxime reducing component 2,increased total body fat amount,Fat mass
Mgme1,Mitochondrial genome maintenance exonuclease 1,increased lean body mass,Lean/Body weight
Slc25a18,Mitochondrial glutamate carrier 2,increased total body fat amount,Fat mass
Timm50,Mitochondrial import inner membrane translocase subunit TIM50,increased lean body mass,Lean mass
Immp2l,Mitochondrial inner membrane protease subunit 2,decreased lean body mass,Lean/Body weight
Slc25a15,Mitochondrial ornithine transporter 1,increased total body fat amount,Fat/Body weight
Mfn2,Mitofusin-2,decreased lean body mass,Lean/Body weight
Map3k1,Mitogen-activated protein kinase kinase kinase 1,increased lean body mass,Lean mass
Mocos,Molybdenum cofactor sulfurase,increased total body fat amount,Fat mass
Mpv17l2,Mpv17-like protein 2,increased total body fat amount,Fat mass
Pcif1,mRNA,increased lean body mass,Lean mass
